text,label,length,Word_Count
shrimp unwrapped live mile brushfire literally ice cold,0,18,8
lacked flavor seemed undercooked dry,0,7,5
really impressive place closed,0,10,4
would avoid place staying mirage,0,12,5
refried bean came meal dried crusty food bland,0,18,8
spend money time place else,0,8,5
lady table next u found live green caterpillar salad,0,16,9
think food flavor texture lacking,0,12,5
overall impressed would go back,0,10,5
whole experience underwhelming think go ninja sushi next time,0,16,9
wasted enough life poured salt wound drawing time took bring check,0,28,11
way plug u unless go converter,0,21,6
good case excellent value,1,4,4
tied charger conversation lasting minute major problem,0,11,7
jiggle plug get line right get decent volume,0,17,8
several dozen several hundred contact imagine fun sending one one,0,21,10
needle say wasted money,0,7,4
impressed going original battery extended battery,1,14,6
two seperated mere ft started notice excessive static garbled sound headset,0,22,11
design odd ear clip comfortable,0,15,5
highly recommend one blue tooth phone,1,11,6
click place way make wonder long mechanism would last,0,17,9
went motorola website followed direction could get pair,0,17,8
bought use kindle fire absolutely loved,1,13,6
yet run new battery two bar three day without charging,1,17,10
bought mother problem battery,0,14,4
great pocket pc phone combination,1,6,5
owned phone month say best mobile phone,1,19,7
think instruction provided helpful,0,11,4
people couldnt hear talk pull earphone talk phone,0,18,8
simple little phone use breakage unacceptible,0,13,6
product ideal people like whose ear sensitive,1,13,7
unusable moving car freeway speed,0,10,5
two year left contract hate phone,0,14,6
car charger well ac charger included make sure never run juice highy recommended,1,19,13
need least min get phone book time first turn phone battery life short,0,24,13
poor talk time performance,0,4,4
case great work fine,1,10,4
great camera thats mp pic nice clear great picture quality,1,18,10
nice headset priced right,1,4,4
right mind gon na buy battery,0,10,6
arguing verizon regarding dropped call returned phone two day,0,15,9
case seems well made,1,5,4
loud enough turn like,0,10,4
good protection make phone bulky,1,9,5
usable keyboard actually turn pda real world useful machine instead neat gadget,1,18,12
phone pretty sturdy never large problem,1,14,6
everything fine reasonable price e,1,11,5
even dropped phone stream submerged second still work great,1,20,9
happy complaint one regarding sound quality end,1,23,7
essentially forget microsoft tech support,0,7,5
really recommend faceplate since look nice elegant cool,1,13,8
headphone great find think perhaps best purchase made last several year seriously,1,25,12
hold phone particular angle party hear clearly,0,18,7
one big drawback mp player button phone front cover let pause skip song lock second,0,30,15
week later activated suddenly died,0,10,5
feel comfortable headset wear glass get way sometimes,1,18,8
device great several situation,1,7,4
even bmw series fairly quiet trouble hearing person saying,0,20,9
nice docking station home work,1,7,5
love phone handy lot feature,1,16,5
purchased within day longer working,0,12,5
wear everyday hold well,1,10,4
well packaged arrived time work intended,1,9,6
item worked great broke month use,0,12,6
headset easy use everyone love,1,10,5
product excellent work better verizon one boy cheaper,1,15,8
product cost much one expect work far better greater ease thing,0,26,11
ear bud play music one ear,0,9,6
plan use car forget,0,12,4
found product waaay big,0,9,4
best found far tried bluetooths one best quality listener well ease using,1,30,12
integrated seamlessly motorola razr phone,1,7,5
buyer beware could flush money right toilet,0,10,7
price good free shipping good purchase,1,17,6
received supposedly new motorola apparently match phone charger,0,20,8
pro good camera nice picture also cool style like black white,1,17,11
huge design flaw unless using correctly think case,0,18,8
love headset jabra bluetooth headset great reception good ear piece comfortable fit,1,24,12
camera although rated impressive megapixels render image fall well expectation relatively high resolution,0,22,13
purcashed car charger work,0,12,4
sound quality end excellent use headset call wife ask wife use headset call,1,25,13
phone slim light display beautiful,1,11,5
little geeky think thats sex toast rock ooze sex right battery embedded sleek stylish leather case,1,28,16
great product fast shipping,1,4,4
keyboard nice compromise full qwerty basic cell phone number keypad,1,17,10
got phone around end may completely unhappy,0,15,7
tried several different earpiece cell phone jabra one first one found fit ear comfortably,1,24,14
could get strong enough signal,0,6,5
work cell phone plug set charger,0,17,6
bluetooth week really like,1,14,4
small even realize getting used,1,21,5
accompanied software almost brilliant,1,6,4
headset work great packaged nicely avoid damage,1,11,7
majority logitech earbud headset failed,0,8,5
headset work peachy keen,1,5,4
house getting dropped coverage upstairs coverage basement,0,15,7
several different minute call experienced drop area bar,0,20,8
phone take forever charge like hour literally,0,12,7
got phone reccomendation relative glad,1,14,5
item stated included description included,0,10,5
month screen went black sudden,0,11,5
audio quality poor poor,0,6,4
absolutely problem headset linking blackberry curve,1,14,6
know sound funny seemed like sketchy technology work well well one work great,1,21,13
bought wired headphone sound better,0,10,5
phone fast sending kind message web browsing significantly faster previous phone used,1,23,12
nice quality build unlike cheap,1,9,5
item fantastic work perfectly,1,7,4
whine internet go use thing le like,0,23,7
essentially communication tool communicate,0,10,4
work like charm work one got phone,1,16,7
still maintain monkey make headphone obviously share enough dna copy design human,0,22,12
work bougth l working,0,14,4
look sharp screen nice clear great graphic,1,17,7
one thing hate mode set button side,0,12,7
igo charger tip really great,1,8,5
file browser offer option one need handsfree great,1,12,8
superb phone great network,1,6,4
connected wife bluetooth motorola h phone worked like charm whether phone pocket case,1,25,13
put latest o g like slow crawl lock every,0,25,9
recognizes phone storage device,0,9,4
like loud buzzing override conversation phone,0,17,6
bluetoooth headset time still comfortable way fit ear,0,21,8
sound quality good functionality awesome,1,9,5
phone thorn side really abhor,0,16,5
recently problem could stay connected minute disconnected,0,18,7
check voice mail night keypad backlight turn second first message lost,0,24,11
ring tone overall good phone buy,1,7,6
lately extremely nice helpful phone,1,11,5
problem wit hit dropping signal,0,10,5
light weight hardly notice,1,8,4
useless phone simply deaf,0,4,4
color even prettier thought would graphic incredibly sharp,1,17,8
make strange ticking noise end call,0,11,6
best electronics available fm transmitter,1,8,5
great headset impressed h,1,6,4
mega pixel camera part phone reasonably good,1,14,7
nearly year worked great,1,14,4
bother contacting company dollar product learned lesson bought form online anyway,0,26,11
hate earbugs avoid phone mean,0,10,5
range decent able roam around house phone living room reception sound quality issue,1,25,13
also like button felt like would crack use,0,15,8
kind embarrassing use look mostly embarrassing child like company,0,20,9
simple lightweight great fit,1,5,4
expected better consumer experience motorola,0,11,5
horrible tick sound background call never experienced,0,18,7
certainly comfortable functionality decent,1,9,4
usually like headband one lightweight mess hair,1,17,7
phone year tell great,0,19,4
ordered sony ericsson w think worked thats first used,0,20,9
really pleased product far,1,7,4
one favorite purchase ever,1,6,4
authentic leather nice shine comfort recommend case,1,13,7
excited get headset thought really cute,1,15,6
big disappointment calendar sync,0,5,4
worst customer service ever,0,4,4
additional ear gel provided instruction whatsoever,0,9,6
defeat purpose bluetooth headset,0,8,4
excellent wallet type phone case,1,5,5
nice headphone price work great,1,9,5
comfortable wear well probably important aspect using case,1,19,8
fit like glove strong secure durable,1,11,6
gosh best phone ever,1,10,4
attractive appears good quality,1,10,4
love feature form factor,1,8,4
product strong rubber petroleum smell unbearable caused return,0,19,8
cable look thin flimsy scary,0,10,5
excellent hand free tool,1,4,4
great using home stereo,1,7,4
good product incredible value,1,5,4
month worked flawlessly far,1,11,4
battery life real good,1,5,4
drain player may also potentially fry,0,13,6
gave star sound quality,1,10,4
reversible plug work great,1,4,4
wasted little money earpiece,0,8,4
best rotating feature helpful,1,9,4
good product good seller,1,4,4
item great installed let charged overnite working good every since problem,1,22,11
voice recognition thru handset excellent,1,8,5
hand best phone ever,1,10,4
work great cat attacked phone scratched protective strip instead destroying screen,1,18,11
one work priced right,1,7,4
battery life still long enough motorola razor v,0,10,8
know made wise decision,1,9,4
someone shouldve invented sooner,1,5,4
everything worked first try device certainly engineered clever way construction feel good,1,19,12
received quickly work great,1,8,4
many people complained found headset microphone weak,0,12,7
year old nokia tracfone hold charge lot better,0,15,8
care consumer one bit,0,9,4
good battery got really fast,1,11,5
also slim enough fit alarm clock docking station without removing case,1,16,11
phone hold charge like new,1,11,5
battery unreliable well service use antena,0,11,6
uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,0,25,13
definitely must state allow cell phone usage driving,1,17,8
ordered product first unhappy immediately,0,11,5
ngage still lacking earbuds,0,7,4
able voice dialing car problem,1,13,5
bar cell phone home cant hear anything,0,18,7
good item low price,1,4,4
however riingtones best neither game,0,11,5
battery working well replacement original came phone year ago,1,20,9
fit comfortably either ear sound clear loud charge last couple day,1,20,11
clear quality sound mess sound ipod since sound button headset,1,25,10
long lasting battery recharge frequentyly flip phone,0,18,7
inexpensive piece would still expected better quality,0,13,7
practically useless add kind boost reception bought,0,19,7
piece junk broke phone day,0,14,5
new battery work great phone,1,6,5
dropped phone time say even concrete phone still great knock wood,1,22,11
reception terrible full static,0,7,4
little device transformed organizational capability made life whole lot easier,1,16,10
sitting vehicle cradle belt headset lost signal,0,17,7
work like charm work advertised,1,7,5
comfortable nice range good battery life,1,6,6
network coverage los angeles horrible,0,8,5
excellent starter wireless headset,0,4,4
loudspeaker option great bumper light appealing,0,14,6
thing think could improve sound leak headset,0,16,7
first reception suck never bar ever,0,14,6
phone get extremely hot,0,5,4
microphone also work well according people called applifies everything,1,15,9
also phone dropped case going save specially dropped face,0,19,9
light easy use clear reception transmission,1,13,6
bad fit way big,0,5,4
ordered motorola data cable got well finished working product,1,15,9
looking headset long time got happier,1,20,6
drivng along headset start ringing reason,0,12,6
display excellent camera good year,1,13,5
battery life also great,1,5,4
worst phone ever month,0,13,4
good item worked started problem auto reverse tape player,0,19,9
embarassing also ear hurt try push ear plug ear,0,20,9
average phone bad battery life operates weak network,0,16,8
clear skype call long battery life long range,1,8,8
great hand free device,1,4,4
even take self portrait outside exterior display cool,1,13,8
trying many many handsfree gadget one finally work well,1,14,9
worst piece crap ever along verizon customer service,0,12,8
company shipped product promptly work well,1,11,6
picture resolution far comparably priced phone offering today,0,13,8
excellent product satisfied purchase,1,9,4
highly recommend encourage people give try,1,12,6
using earpiece left right thing stay ear,0,14,7
sound good reasonably priced effective simple,1,10,6
still waiting sure item would work well ever recieve,0,14,9
especially love long battery life,1,7,5
stupid keep buying new charger car charger cradle headphone car kit every time new phone come,0,24,16
plantronics bluetooth excelent buy,1,4,4
came verizon cingulair nicer cell phone first thing noticed really bad service,0,21,12
highly recommend device everyone,1,7,4
received white colored battery go dead couple hoursthe original used last week still last longer thereplacement,0,26,16
year battery went completely dead headset,0,11,6
used several phone two year one best,1,14,7
awesome new look fall,1,7,4
first phone cheaply made,0,13,4
att clear sound distorted yell talk,0,16,6
plastic break really easy clip,0,8,5
oh forgot also mention weird color effect phone,0,16,8
using iriver spinn case fit fine,1,13,6
also area unit broke fond magnetic strap,0,15,7
overall psyched phone appointment contact get great reception,1,20,8
every thing phone work perfectly like,1,9,6
another note phone appearance really look rather bland especially black model,0,19,11
sanyo survived dozen drop blacktop without ill effect,1,12,8
find cell phone right away enter car,1,12,7
highly recommend modest priced cellular phone,1,8,6
get better reception clarity phone,1,14,5
wish could return unit get back money,0,12,7
awsome device work great,1,4,4
used talk hour battery would literally drained dying,0,21,8
find bad unit come one earpad would recommend anyone,0,22,9
might gotten defect would risk buying built quality alone,0,20,9
made case small difficult install,0,12,5
restored phone like new performance,1,7,5
would recommend purchasing jabra jx series work flawlessly moto q go figure,1,18,12
searched internet found one best value,1,13,6
screen size big key pad lit well enough camera quality excellent camera phone,1,20,13
really nothing bad say headset,0,10,5
glad found product amazon hard find high priced,1,17,8
colleague get great reception little expensive performance great,1,14,8
even fully charged went bed turned blue tooth wi fi noticed left morning,0,29,13
also problem phone reading memory card always turn,0,22,8
good wearing hat sunglass,0,8,4
timely shipment quality product,1,5,4
well made fit surefire gx perfectly,1,9,6
cant get software work computer,0,9,5
find inexcusable probably returning phone perhaps changing carrier,0,16,8
tmobile service year pretty happy,1,18,5
update procedure difficult cumbersome,0,7,4
disappointment hate anything go ear,0,9,5
uncomfortable ear use lg vx env,0,10,6
volume switch rocketed unit destination unknown,0,12,6
hold charge long time reasonably comfortable long wearing condition quality sound tremendous,1,21,12
keyboard really worthwhile usefulness sturdy enough expect problem,1,16,8
verizon bill however difficult understand even though pricing plan simple,0,14,10
charging overnight battery work great,1,7,5
unfortunately ability actually know receiving call rather important feature phone pitiful respect,0,24,12
exchanged phone even problem,0,13,4
result phone either stuck max volume mute,0,13,7
super charged use small hybrid palmtop camera cellphone excels role,1,17,10
would definitely recommend jabra bt looking comfort clarity great price,1,19,10
verizon year ago really liked service,1,11,6
save money item month,0,11,4
bose noise cancelling amazing important nyc commuter,1,14,7
would given star able,0,10,4
wear glass fit fine,1,9,4
sound quality device unacceptable unless really quiet area almost hear nothing,0,19,11
would recommend item anyone,0,8,4
holster arrived match photo ad,0,12,5
earlier review noted plug charger nothing happens,0,12,7
frog phone charm adorable eye catching,1,10,6
never know pushed hard enough right number time function want,0,22,10
sound clear people talk amazed quality,1,18,6
got aluminum case new palm vx worked really well protected handheld perfectly far,1,22,13
good product well made,1,5,4
mobile phone tool must,1,7,4
impressed job motorola sturdiness phone,1,16,5
received order well within shipping timeframe everything good working order overall excited source,1,25,13
impressed would recommend item anyone,0,15,5
complaint standard sound volume little low even turned,0,19,8
thanks amazon thing need good price,1,14,6
ended sliding edge pant back pocket instead,1,15,7
go store bought new nokia phone working great,1,17,8
razr battery good buy,1,5,4
keep good work amazon,1,6,4
unfortunately easy accidentally activate gentle touch button accidentally touch phone face listening,0,22,12
basically threw money window nothing,0,11,5
took one drop inch kitchen counter cracked impressed laughing,0,26,9
bluetooth range good day ago left phone trunk got call carried conversation without hitch,1,26,14
small sleek impressive looking practical setup ample storage place,1,11,9
eargels channel sound directly ear seem increase sound volume clarity,1,18,10
none new one ever quite worked properly,0,10,7
missed numerous call reason,0,8,4
perhaps phone defective people hear use,0,14,6
sucked stuff work phone,0,11,4
shifting bubbling peeling even scratch nothing happier new one droid,1,22,10
worst software ever used could give zero star would,0,13,9
trying make call exercise frustration,0,12,5
case flimsy piece plastic front side protection whatsoever,0,16,8
jabra earset happy sound quality especially outgoing better,1,21,8
love camera really pretty good quality,1,9,6
seller understanding patient would definitely buy,1,14,6
give wirefly star contact cingular inform practice,0,14,7
purchased family friend enjoy clarity ease use,1,18,7
virgin wireless rock cheap little phone,1,10,6
muddy low quality sound casing around wire insert poorly super glued slid,0,18,12
please dont waste money,0,5,4
looking good quality motorola headset keep looking,0,15,7
yet plantronincs continues use flawed charger design,0,10,7
great new packaged nice work good problem came le time expected,1,19,11
experience terrible fourth bluetooth headset much comfortable last jabra hated,0,24,10
trouble accessing internet downloading ringtones performing function,1,15,7
barely ever hear constantly saying,0,12,5
battery life highly unacceptable,0,6,4
everything description said would,1,8,4
due happening every call forced stop using headset,0,15,8
work great car charger especially plug two adapter time,1,19,9
verizon tech support walked procedure none worked ended hard set wiping data,0,28,12
voice quality signal strength dropped call,0,6,6
play louder speaker size price low would think quality lacking however,1,26,11
feel poorly constructed menu difficult navigate button recessed difficult push,0,23,10
also difficult put recommend avoiding product,0,9,6
used two day always easy hear,0,14,6
got car charger even week charger broken went plug started smoking,0,24,11
sprint terrible customer service,0,5,4
linked phone without effort,1,6,4
possesed get junk idea,0,11,4
price amazon excellent product would highly recommend,1,15,7
research development division obviously know,1,10,5
real killer volume course breaking,0,11,5
overall would recommend phone new walkman,1,10,6
cheap feel look cheap,0,11,4
fit ear well comfortable,1,9,4
clipping belt deffinitely make feel like cent coming,1,14,8
like design look jabra behing ear headset pretty comfortible wear hour day without pain ear,1,27,15
amazed quick arrival two original lg cell phone battery fraction price,1,23,11
worst phone samsung crap crappy samsung e worst ever seeen,0,16,10
charger worked week completely stopped charging phone,0,14,7
however needed better instruction,0,6,4
need two hand operate screen software interface decade old compete new software design,0,20,13
worked well paired treo skype headset pc using usb bluetooth transceiver,1,21,11
steer clear product go genuine palm replacementr pen come three pack,0,18,11
great product sure beat using finger,1,10,6
plus seriously believe worth steep price point,0,13,7
case tried normally fall apart month one seems long haul,1,24,10
make mistake please buy phone,0,14,5
phone might well worst ever brand,0,13,6
case le extra originally put later discarded scratched ear,0,20,9
recommend igo anyone different brand cell phone mp player family,1,14,10
posted detailed comment grey black phone fire red great color,1,22,10
problem item would order needed,1,16,5
software great job could also make ringtones form existing cd without internet connection,1,26,13
im surprised good quality car charger much review,1,16,8
however bt headset currently good real time game like first person shooter since audio delay mess,0,21,16
used bitpim free program find internet transfer data phone price cable excellent,1,23,12
disappointing accessory good manufacturer,0,6,4
performed awful muffled tinny incoming sound severe echo end call,0,19,10
obviously terrible customer service get pay,0,14,6
last forever overly expensive replace easy operate sound much better others tried,1,25,12
contacted company told although unit still warranty produce receipt luck,0,27,10
linksys way exchange bad phone refurb unit something,0,16,8
phone sturdy nokia bar phone,1,9,5
placed treo case snug lot extra room side,0,25,8
found product easy set use,1,12,5
earpiece large heavy keep falling ear,0,16,6
utter crap sound quality terrible,0,6,5
charger arrived within promised timeframe work,0,12,6
ear loop needed tiny sound great,1,11,6
finally three four time spring latch broke could use longer visor,0,23,11
handsfree part work fine car try download address book treo reboots overall still rate device high,1,25,16
talk useless customer service,0,5,4
fit palm tungsten e broke first time tried plug,0,20,9
happy purchase good quality low price,1,10,6
love look feel samsung flipphones,1,9,5
well designed sharp blue nice color,1,13,6
look good picture case huge disappointment,0,12,6
much le jawbone going replace,1,12,5
extremely slow take forever anything,0,11,5
must study anyone interested worst sin industrial design,0,13,8
first thing happened tracking,0,11,4
well made easy access phone handy detachable belt clip,1,16,9
continue pairing periodically since somehow kept dropping,0,13,7
upload ringtones third party,0,7,4
bluetooth work phone lock screen flash make call randomly pocket locked,0,23,11
work fine motorola cellphone lot better worn battery,1,17,8
volume ringer real good choice loud,1,13,6
camera color balance awful,0,5,4
product clearly ready prime time care cool look tell call coming worthless,0,27,12
easy pair samsung cell,1,7,4
instruction explain microphone jack could used,0,11,6
would advise purchase item never worked well,0,13,7
bad pay month service,0,14,4
nokia ca usb cable work phone,0,11,6
use smallest earpiece provided stay pretty well,1,14,7
biggest complaint battery drain superfast,0,10,5
design might ergonomic theory could stand ear,0,17,7
buy want use holster,0,10,4
phone also take great picture even video clip,1,11,8
ear occupied background distracting,1,11,4
comfortable fit need headset comfortable least hour time entire day,1,24,10
also phone seem accept anything except cbr mp preferably ripped window medium player,0,17,13
come strong light use light camera shot even flash so signal seriously,1,22,12
love cable allows connect mini usb device pc,1,16,8
anyone near hear part conversation,0,10,5
cool case open allowing screen get scratched,1,18,7
bought phone replacement startac regretted since,0,15,6
appears actually outperform original battery china came v,1,14,8
store anything phone number sim,0,8,5
last le minute actually try use phone wife phone problem,0,23,10
jabra ear gel r best,1,6,5
phone crashed completely get replaced,0,12,5
quit working used month purchased another one best headset ever owned,1,26,11
unfortunately recharge iphone despite connecting multiple power source imac external battery wall outlet etc,0,21,14
simply want small flip phone look elsewhere extra bell whistle mediocre,0,19,11
good value work fine power via usb car wall outlet,1,12,10
phone slide around car grip prevents phone slipping hand,1,20,9
simply best bluetooth headset sound quality,1,10,6
think plan one sure last moto phone,0,18,7
span hour two people exclaim whoa new phone tv,1,20,9
always used corded headset freedom wireless helpful,1,15,7
case passed one year mark show sign wear functional,1,19,9
leather nice soft fit tight cut face good shape,1,24,9
receiving using product day broke,0,12,5
product great make working lot easier go copier waiting hold something,1,22,11
none three size sent headset would stay ear,0,15,8
mobile best customer service anywhere,1,7,5
arrived quickly much le expensive others sold,1,10,7
tried unit failed within month pro,0,13,6
provides good protection look classy,1,7,5
tracfonewebsite user friendly make easy toactivate etc,1,11,7
would highly recommend product,1,6,4
use unit sunglass good texas,0,10,5
dit work time nokia,0,12,4
bought mainly charger broke soon purchasing,0,10,6
like loud buzzing override conversation phone,0,17,6
fantastic buy get whatever next phone,1,12,6
stay away store careful,0,7,4
blueant supertooth hand free phone speaker awesome,1,8,7
item arrived quickly work great metro pc samsung sch slider phone sony premium sound ear plug,1,22,16
light plenty battery capacity confortable wear somewhat extended period time,1,20,10
blue ant easy use,1,6,4
cheap hey work pleasantly suprised given low cost item,1,15,9
camera phone may used dustpan indoors rather using disposable,0,21,9
day later puff smoke came phone use,0,18,7
convenient simple use get job done make car ride much smoother,1,19,11
nano stated son dissapointed,0,7,4
sound quality excellent well,1,7,4
around year carry highest quality anti glare screen protector found date,1,21,11
particular model would work motorola q smartphone,0,11,7
wont work right atleast,0,7,4
addition feel amp look phone lightweight cheap plastic,0,15,8
warranty problem reoccure bottom line put money somewhere else cingular support,0,23,11
really wanted plantronics right one many issue good,0,20,8
first charge kept going dead minute,0,10,6
cheap plastic creak like old wooden floor,0,9,7
get absolutely horrible reception apartment phone problem,0,18,7
excellent sound battery life inconspicuous boot,1,8,6
phone got year old slowly breaking despite much care part,0,20,10
bought hoping could make bluetooth headset fit better thing made impossible wear,0,20,12
treo mobile refused replace forced buy another phone without kind upgrade discount,0,21,12
think would hold securly belt,0,12,5
allows possibility double booking date time first,0,16,7
great tool entertainment communication data management oh sure use activesync optimal data synchronization result,1,21,14
use case smell disgusting,0,10,4
case would order another,1,10,4
bought battery coupon amazon happy purchase,1,16,6
internet access fine rare instance worked,0,12,6
five star plus plus,1,4,4
good quality bargain bought bought cheapy big lot sounded awful people end hear,1,27,13
tried talking real loud shouting telephone get old still told great,0,20,11
yes shiny front side love,1,11,5
first thought grtting good deal plugged phone v razr,0,21,9
verizon lg phone work well together good reception range exceeds foot line sight,1,22,13
battery charge life quite long,1,5,5
jabra eargels fit ear well,1,8,5
checked everywhere feature really disappointing,0,14,5
get signal verizon phone,1,8,4
said phone camera nice many cool effect play video decent well,1,23,11
satisfied cell phone day one,1,12,5
keep getting better better third one numerous palm,1,17,8
shipping time also quick,1,7,4
three broke within two month use,0,8,6
father v battery dying,0,10,4
however ear pad come easily one week lost one,0,15,9
call drop phone come screen go black worst stop ringing intermittently,0,24,11
reaching bottom row uncomfortable send end key expect,0,21,8
bought nokia cell phone week ago nightmare,0,16,7
would take long describe bad customer service experience amazon,0,17,9
terrible car accept cassette,0,8,4
product useless since enough charging current charge cellphone planning use,0,23,10
bought two neither charge,0,9,4
excellent tool especially paired phone auto answer,1,12,7
product cover important light sensor ear outlet,0,12,7
take picture battery drop bar start beeping letting know dieing,0,18,10
terrible product waste money,0,6,4
far worked like charm,1,8,4
case best part download picture laptop using ir even send picture laptop phone,1,28,13
choice headset year great sound good volume good noise cancellation,1,13,10
nice case feel good hand,1,7,5
really good far probably best bt headset ever,1,14,8
received headset good time happy,1,12,5
pleased see could replace well travled swivel holster blackberry flip,1,19,10
sister one also love,1,9,4
far worst purchase made amazon,0,11,5
excellent dual purpose headset,1,3,4
work listening music cingular,0,11,4
seems completely secure holding belt keeping iphone inside,1,15,8
bottowm line another worthless cheap gimmick sprint,0,8,7
good thing fit comfortably small ear,1,12,6
pairing iphone could happier far,1,17,5
open battery connection broken device turned,0,14,6
want clip going top ear causing discomfort,0,14,7
trust website expect helpful support,0,10,5
loud glad say plantronics maintains flawless connection cell static normal use,1,24,11
speaker low quality making ring tone sound cheap,0,15,8
fit comfortably came three size earbud tip,1,9,7
product high quality chinese crap,0,8,5
everything product wrong first,0,6,4
pairing two device easy barely took couple minute started making call voice dialing feature,1,25,14
utterly confusing first caused lose couple important contact,0,18,8
cutout button placed perfectly,1,7,4
love able use one headset land line cell,1,14,8
problem ear loop made weak material break easily,0,14,8
nearly good looking amazon picture make look,0,12,7
despite flaw case exceptional quality well worth additional cost owning official oem product,1,23,13
hear driving car usually even put loudest setting,1,21,8
seller shipped quickly much cheaper competitor,1,9,6
bought saved alot money,1,12,4
always cut make beep beep beep sound say signal failed,0,15,10
phone sounded ok great ok wife phone almost totally unintelligible understand word said,0,26,13
take battery phone put back together restart,0,20,7
managed bend leaf spring back place metal enough stress break next drop,0,25,12
leopard print wonderfully wild,1,5,4
saggy floppy piece junk,0,5,4
much better hard plastic case,1,7,5
motorola finally got voice quality bluetooth headset right,1,11,8
loos connection phone even within couple foot two,0,17,8
great would really recommend,1,9,4
make easier keep bluetooth wearing,0,14,5
pair headphone worst ever sound wise,0,13,6
charge cingular att phone,0,8,4
get extra minute carry call get cut,1,17,7
however year fliptop started get loose wobbly eventually screen went black receive place call,0,26,14
kept catching cable seat pull phone turn,0,22,7
headset fulfills requirement happy purchase,1,12,5
like fact rest lightly ear rather inside,1,14,7
lot website rating good phone,1,16,5
tried cable computer ipod work fine,1,16,6
mic joke volume quite low,0,12,5
maintain connection computer lap,0,15,4
easy turn car volume control quite accessable,1,21,7
mine year christmas bought rest family,1,20,6
otherwise easy install use clear sound,1,8,6
phone get bought say wow,1,20,5
reading spec alone make say wow,1,10,6
really like product motorola allot clearer ear piece mic,1,20,9
however keypad tinny sometimes reach wrong button,0,13,7
exchanged sony ericson pretty happy decision,1,15,6
also make easier hold,1,8,4
use product motor control center lot high voltage humming equipment work great,1,25,12
make call certain place,0,7,4
however girl complain time phone wake like normal phone,0,17,9
company charge restocking fee still given refund back,0,15,8
plugged find darn thing worked,0,13,5
earbud piece break easily,0,4,4
phone try hard everything fails ability phone,0,18,7
best charger seen market yet,1,12,5
oh charger seems work fine,1,7,5
fit securely ear hook even need used sound better directed ear canal,1,25,12
could take video time quality poor,0,15,6
going first negatively review product,0,14,5
adapter provide enough charging current,0,7,5
much hype phone assumed best mistake,0,17,6
also take picture case lense covered,0,15,6
work people hear talk,0,11,4
text messaging feature really tricky use,0,9,6
really disappointed charger work,0,13,4
lasted one day blew,0,7,4
screen get smudged easily touch ear face,0,13,7
piece junk lose call phone,0,12,5
thing disappoint infra red port irda,0,12,6
answer call unit never worked,0,11,5
slow moving aimless movie distressed drifting young man,0,13,8
sure lost flat character audience nearly half walked,0,19,8
attempting artiness black white clever camera angle movie disappointed became even ridiculous acting poor plot line almost non existent,0,31,19
little music anything speak,0,8,4
best scene movie gerardo trying find song keep running head,1,21,10
rest movie lack art charm meaning emptiness work guess empty,0,20,10
saw movie today thought good effort good message kid,1,15,9
loved casting jimmy buffet science teacher,1,10,6
movie showed lot florida best made look appealing,1,15,8
song best muppets hilarious,1,11,4
right case movie delivers everything almost right face,1,16,8
average acting main person low budget clearly see,0,20,8
review long overdue since consider tale two sister single greatest film ever made,1,21,13
put gem movie term screenplay cinematography acting post production editing directing aspect film making,1,23,14
practically perfect true masterpiece sea faux masterpiece,1,17,7
structure film easily tightly constructed history cinema think film something vitally important occurs every minute word content level film enough easily fill dozen film anyone right mind ask anything movie quite simply highest superlative form cinema imaginable yes film require rather significant amount puzzle solving piece fit together create beautiful picture short film certainly pull punch graphic far best part game number one best th game series deserves strong love insane game massive level massive unlockable character massive game waste money game kind money wasted properly actually graphic good time today graphic crap say canada fun game aye game rock buy play enjoy love pure brilliance flick doomed conception idea lame take minor character mediocre pg film make complete non sequel changing tone pg rated family movie least bit interested confirm film would unfunny generic also managed give away entire movie exaggerating every moment every plot point every joke told trailer funny even talented carrell save co star fare much better people like morgan freeman jonah hill ed helm wasted story predictable lazy real effect work presence animal integration scene worst obvious blue green screen work ever seen whatever cost much translate quality sure film succeeds despite perhaps obviously meagre budget glad film go obvious choice lesser film certainly would addition one lovely song ever written french cancan also boast one cutest leading lady ever grace screen hard fall head heel love girl negative insipid enough cause regret another hour life wasted front screen long whiny pointless recommend waiting future effort let one go excellent cast story line performance totally believable anne heche utterly convincing sam shepard portrayal gung ho marine sobering sat riveted tv screen give one resounding think tom hank good actor enjoyed reading book child little disappointed movie one character totally annoying voice give feeling fingernail chalkboard totally unnecessary train roller coaster scene absolutely warmth charm scene character movie totally grate nerve performance improved improvisation actor twice much worry whether delivering line well whether line good quite honestly often good often dialogue really follow one line another fit surroundings crackle unpredictable youthful energy honestly found hard follow concentrate meander badly generally great thing say worth hour time though suspense builder good cross line g pg especially liked non cliche choice parent movie could predict dialog verbatim writing movie made better selection want movie gross give chill great choice alexander nevsky great film amazing film artist one important whoever lived glad pretentious piece planned dodge stratus big shot gon na help movie maker restrained movie business qu bec,0,865,420
first movie given year,1,12,4
ever movie needed word mouth promote,1,14,6
overall film interesting thought provoking,1,7,5
plus well paced suited relatively short run time,1,11,8
wind lion well written superbly acted,1,11,6
actually turned pretty decent far b list horror suspense film go,1,15,11
suspense feeling frustration retarded girl,0,16,5
